date,flow_cms,source
2015-08-22,70.59458175542143,RODA NWM v3.0 (cached)
2015-08-23,69.6266651103894,RODA NWM v3.0 (cached)
2015-08-24,69.07416512273873,RODA NWM v3.0 (cached)
2015-08-25,69.1012484554667,RODA NWM v3.0 (cached)
2015-08-26,69.88916510452206,RODA NWM v3.0 (cached)
2015-08-27,71.37916507121797,RODA NWM v3.0 (cached)
2015-08-28,73.08083169984941,RODA NWM v3.0 (cached)
2015-08-29,72.67541504224452,RODA NWM v3.0 (cached)
2015-08-30,71.24874840746634,RODA NWM v3.0 (cached)
2015-08-31,70.69458175318626,RODA NWM v3.0 (cached)
2015-09-01,70.1537484319415,RODA NWM v3.0 (cached)
2015-09-02,68.91833179288854,RODA NWM v3.0 (cached)
2015-09-03,66.59124851156957,RODA NWM v3.0 (cached)
2015-09-04,63.58999857865274,RODA NWM v3.0 (cached)
2015-09-05,60.982081970277555,RODA NWM v3.0 (cached)
2015-09-06,57.764998708851635,RODA NWM v3.0 (cached)
2015-09-07,55.10624876827933,RODA NWM v3.0 (cached)
2015-09-08,52.57999882474542,RODA NWM v3.0 (cached)
2015-09-09,50.3008322090221,RODA NWM v3.0 (cached)
2015-09-10,48.315832253390305,RODA NWM v3.0 (cached)
2015-09-11,48.466248916694894,RODA NWM v3.0 (cached)
2015-09-12,54.13666545661787,RODA NWM v3.0 (cached)
2015-09-13,57.36374871782027,RODA NWM v3.0 (cached)
2015-09-14,55.38499876204878,RODA NWM v3.0 (cached)
2015-09-15,54.25291545401948,RODA NWM v3.0 (cached)
2015-09-16,54.192915455360584,RODA NWM v3.0 (cached)
2015-09-17,53.49583213760828,RODA NWM v3.0 (cached)
2015-09-18,51.59874884667806,RODA NWM v3.0 (cached)
2015-09-19,49.34874889696948,RODA NWM v3.0 (cached)
2015-09-20,48.079582258670904,RODA NWM v3.0 (cached)
2015-09-21,47.343748941784725,RODA NWM v3.0 (cached)
2015-09-22,45.86624897480942,RODA NWM v3.0 (cached)
2015-09-23,43.7562490219716,RODA NWM v3.0 (cached)
2015-09-24,41.55458240451602,RODA NWM v3.0 (cached)
2015-09-25,39.717082445587344,RODA NWM v3.0 (cached)
2015-09-26,38.085415815391265,RODA NWM v3.0 (cached)
2015-09-27,36.94416584090019,RODA NWM v3.0 (cached)
2015-09-28,36.34083252105241,RODA NWM v3.0 (cached)
2015-09-29,36.67958251348076,RODA NWM v3.0 (cached)
2015-09-30,38.239165811954685,RODA NWM v3.0 (cached)
2015-10-01,41.13916574713463,RODA NWM v3.0 (cached)
2015-10-02,43.480832361460976,RODA NWM v3.0 (cached)
2015-10-03,43.51416569404925,RODA NWM v3.0 (cached)
2015-10-04,42.0120823942901,RODA NWM v3.0 (cached)
2015-10-05,39.99291577275532,RODA NWM v3.0 (cached)
2015-10-06,37.79499915521592,RODA NWM v3.0 (cached)
2015-10-07,35.84916586537535,RODA NWM v3.0 (cached)
2015-10-08,34.22374923503958,RODA NWM v3.0 (cached)
2015-10-09,32.91666593092183,RODA NWM v3.0 (cached)
2015-10-10,31.92583261973535,RODA NWM v3.0 (cached)
2015-10-11,30.9266659754018,RODA NWM v3.0 (cached)
2015-10-12,29.957499330397695,RODA NWM v3.0 (cached)
2015-10-13,29.25791601270127,RODA NWM v3.0 (cached)
2015-10-14,28.534166028878342,RODA NWM v3.0 (cached)
2015-10-15,27.70333271411558,RODA NWM v3.0 (cached)
2015-10-16,26.90291606533962,RODA NWM v3.0 (cached)
2015-10-17,26.216666080678504,RODA NWM v3.0 (cached)
2015-10-18,25.596666094536584,RODA NWM v3.0 (cached)
2015-10-19,24.996249441290274,RODA NWM v3.0 (cached)
2015-10-20,24.409999454393983,RODA NWM v3.0 (cached)
2015-10-21,23.808332801175613,RODA NWM v3.0 (cached)
2015-10-22,23.2437494804617,RODA NWM v3.0 (cached)
2015-10-23,22.79083282391851,RODA NWM v3.0 (cached)
2015-10-24,22.275832835429657,RODA NWM v3.0 (cached)
2015-10-25,21.729166180981945,RODA NWM v3.0 (cached)
2015-10-26,21.135416194253292,RODA NWM v3.0 (cached)
2015-10-27,20.54833287404229,RODA NWM v3.0 (cached)
2015-10-28,20.206249548355117,RODA NWM v3.0 (cached)
2015-10-29,20.71624953695573,RODA NWM v3.0 (cached)
2015-10-30,21.039999529719353,RODA NWM v3.0 (cached)
2015-10-31,20.592499539721757,RODA NWM v3.0 (cached)
2015-11-01,21.02499953005463,RODA NWM v3.0 (cached)
2015-11-02,20.81166620148967,RODA NWM v3.0 (cached)
2015-11-03,20.800416201741125,RODA NWM v3.0 (cached)
2015-11-04,20.48874954204075,RODA NWM v3.0 (cached)
2015-11-05,20.44499954301864,RODA NWM v3.0 (cached)
2015-11-06,21.973749508848414,RODA NWM v3.0 (cached)
2015-11-07,25.57916609492774,RODA NWM v3.0 (cached)
2015-11-08,27.797499378677458,RODA NWM v3.0 (cached)
2015-11-09,27.58958271665809,RODA NWM v3.0 (cached)
2015-11-10,28.225832702436794,RODA NWM v3.0 (cached)
2015-11-11,29.744582668490086,RODA NWM v3.0 (cached)
2015-11-12,31.496249296003953,RODA NWM v3.0 (cached)
2015-11-13,32.07416594975317,RODA NWM v3.0 (cached)
2015-11-14,32.17791594743418,RODA NWM v3.0 (cached)
2015-11-15,31.04041597285929,RODA NWM v3.0 (cached)
2015-11-16,30.250415990517165,RODA NWM v3.0 (cached)
2015-11-17,29.44958267508385,RODA NWM v3.0 (cached)
2015-11-18,28.705416025050607,RODA NWM v3.0 (cached)
2015-11-19,28.393332698692877,RODA NWM v3.0 (cached)
2015-11-20,28.474582696876798,RODA NWM v3.0 (cached)
2015-11-21,28.30999936722219,RODA NWM v3.0 (cached)
2015-11-22,28.332499366719276,RODA NWM v3.0 (cached)
2015-11-23,29.894165998479973,RODA NWM v3.0 (cached)
2015-11-24,30.22916599099214,RODA NWM v3.0 (cached)
2015-11-25,30.70749931363389,RODA NWM v3.0 (cached)
2015-11-26,31.56124929455109,RODA NWM v3.0 (cached)
2015-11-27,32.002915951345734,RODA NWM v3.0 (cached)
2015-11-28,34.08708257142765,RODA NWM v3.0 (cached)
2015-11-29,37.59416582637156,RODA NWM v3.0 (cached)
2015-11-30,38.03999914973974,RODA NWM v3.0 (cached)
2015-12-01,39.68624911294319,RODA NWM v3.0 (cached)
2015-12-02,41.98916572813565,RODA NWM v3.0 (cached)
2015-12-03,42.47499905060977,RODA NWM v3.0 (cached)
2015-12-04,43.06666570405165,RODA NWM v3.0 (cached)
2015-12-05,46.04958230404494,RODA NWM v3.0 (cached)
2015-12-06,53.265415476091825,RODA NWM v3.0 (cached)
2015-12-07,62.832915262241535,RODA NWM v3.0 (cached)
2015-12-08,70.36916509379323,RODA NWM v3.0 (cached)
2015-12-09,76.49374829023145,RODA NWM v3.0 (cached)
2015-12-10,80.5562481994275,RODA NWM v3.0 (cached)
2015-12-11,81.75083150605981,RODA NWM v3.0 (cached)
2015-12-12,82.32499815989286,RODA NWM v3.0 (cached)
2015-12-13,82.01541483347926,RODA NWM v3.0 (cached)
2015-12-14,81.17041485236648,RODA NWM v3.0 (cached)
2015-12-15,80.03124821116216,RODA NWM v3.0 (cached)
2015-12-16,78.77249823929742,RODA NWM v3.0 (cached)
2015-12-17,76.11583163201188,RODA NWM v3.0 (cached)
2015-12-18,73.6349983541295,RODA NWM v3.0 (cached)
2015-12-19,71.27874840679578,RODA NWM v3.0 (cached)
2015-12-20,69.07999845594168,RODA NWM v3.0 (cached)
2015-12-21,67.89708181571525,RODA NWM v3.0 (cached)
2015-12-22,67.55999848991632,RODA NWM v3.0 (cached)
2015-12-23,68.24958180783626,RODA NWM v3.0 (cached)
2015-12-24,69.20916511972125,RODA NWM v3.0 (cached)
2015-12-25,72.76999837346375,RODA NWM v3.0 (cached)
2015-12-26,72.9833317020287,RODA NWM v3.0 (cached)
2015-12-27,83.5720814653517,RODA NWM v3.0 (cached)
2015-12-28,113.29124746774323,RODA NWM v3.0 (cached)
2015-12-29,205.67541206946285,RODA NWM v3.0 (cached)
2015-12-30,531.0924881291576,RODA NWM v3.0 (cached)
2015-12-31,1136.559557929247,RODA NWM v3.0 (cached)
